	ID_GeneontologyIDs_	Gene ontology IDs
114	GO:0001658; GO:0001822; GO:0001837; GO:0001838; GO:0001889; GO:0003714; GO:0005109; GO:0005125; GO:0005576; GO:0005615; GO:0005737; GO:0005788; GO:0005796; GO:0005886; GO:0008584; GO:0008585; GO:0009267; GO:0009986; GO:0010629; GO:0010894; GO:0022407; GO:0030182; GO:0030237; GO:0030325; GO:0030336; GO:0030501; GO:0030666; GO:0031012; GO:0032349; GO:0032967; GO:0033080; GO:0038030; GO:0040037; GO:0042445; GO:0043547; GO:0045165; GO:0045596; GO:0045669; GO:0045836; GO:0045892; GO:0045893; GO:0048018; GO:0048599; GO:0051145; GO:0051496; GO:0051894; GO:0060070; GO:0060126; GO:0060129; GO:0060231; GO:0060748; GO:0061045; GO:0061180; GO:0061184; GO:0061205; GO:0061369; GO:0070062; GO:0071560; GO:0072033; GO:0072034; GO:0072162; GO:0072174; GO:0072273; GO:2000019; GO:2000066; GO:2000180; GO:2000225; GO:2001234	114
115	GO:0002102; GO:0002446; GO:0005576; GO:0005829; GO:0005886; GO:0005911; GO:0007605; GO:0008360; GO:0030042; GO:0030043; GO:0030054; GO:0030220; GO:0030834; GO:0030836; GO:0030864; GO:0030865; GO:0040011; GO:0042247; GO:0042995; GO:0043297; GO:0045199; GO:0045214; GO:0048713; GO:0051015; GO:0060307; GO:0070062; GO:1990266	115
116	GO:0005634; GO:0005654; GO:0005737; GO:0010165; GO:0016604	116
117	GO:0002244	117
118	GO:0000151; GO:0000209; GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0007165; GO:0007417; GO:0016567; GO:0034220; GO:0043161; GO:0045732; GO:0045892; GO:0046718; GO:0061630; GO:0070062	118
119	GO:0000813; GO:0005654; GO:0005813; GO:0005829; GO:0006612; GO:0006623; GO:0010008; GO:0016236; GO:0031902; GO:0036258; GO:0039702; GO:0043162; GO:0043231	119
120	GO:0000981; GO:0001228; GO:0003677; GO:0005634; GO:0006357; GO:0046872	120
121	GO:0005887; GO:0005911; GO:0050839; GO:0098609	121
122	GO:0005768; GO:0005769; GO:0005770; GO:0005829; GO:0006886; GO:0016241; GO:0030904; GO:0030906; GO:0042147; GO:0045335; GO:0071346	122
123	GO:0005049; GO:0005634; GO:0005643; GO:0005737; GO:0006611; GO:0031267	123
124	GO:0005049; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0005886; GO:0006611; GO:0031267; GO:0032991	124
125	GO:0000978; GO:0000981; GO:0005634; GO:0006355; GO:0046872	125
126	GO:0003723; GO:0005654; GO:0005730; GO:0006364; GO:0007601; GO:0032040; GO:0034388; GO:0050896	126
127	GO:0005764; GO:0005765; GO:0005769; GO:0005770; GO:0005794; GO:0005798; GO:0005829; GO:0006623; GO:0008017; GO:0008333; GO:0009267; GO:0010008; GO:0015630; GO:0016020; GO:0016236; GO:0030123; GO:0030136; GO:0030897; GO:0031902; GO:0034058; GO:0042802; GO:0043621; GO:0045055; GO:0046872; GO:0048193; GO:1902501; GO:1902774	127
128	GO:0000978; GO:0000981; GO:0003700; GO:0005667; GO:0005737; GO:0006357; GO:0008584; GO:0008585; GO:0031519; GO:0046872; GO:0051321; GO:1990837	128
129	GO:0000902; GO:0001701; GO:0001750; GO:0005737; GO:0005856; GO:0005929; GO:0008406; GO:0030326; GO:0030991; GO:0031076; GO:0031514; GO:0032391; GO:0035721; GO:0042471; GO:0048701; GO:0050877; GO:0055123; GO:0060271; GO:0060830; GO:0060831; GO:0061055; GO:0065003; GO:0097542; GO:0097730; GO:1903441	129
130	GO:0003094; GO:0004177; GO:0005737; GO:0005739; GO:0005829; GO:0006508; GO:0008233; GO:0016485; GO:0030145; GO:0042803; GO:0070006	130
131	GO:0000978; GO:0000981; GO:0003700; GO:0005634; GO:0006355; GO:0006357; GO:0008270	131
132	GO:0005576; GO:0005886; GO:0015939; GO:0017159; GO:0031225	132
